%time,field.header.seq,field.header.stamp,field.header.frame_id,field.waypoint,field.q0,field.q1,field.q2,field.q3,field.q4,field.q5,field.acc,field.vel,field.totaltime,field.round
1454587894834227286,0,1454587894833567958,,0,2.22856249495,-1.5697228792,-0.0923648501485,-2.36508457993,-1.56189770403,0.465020523441,3.0,0.75,0.008,0.0
1454587894841526700,1,1454587894841375904,,1,2.228561985,-1.56974427853,-0.092280185145,-2.365146168,-1.56190766439,0.465020903187,3.0,0.75,0.008,0.0
1454587894849537196,2,1454587894849416476,,2,2.22856084279,-1.56979426413,-0.0920810053618,-2.36529087502,-1.56192994272,0.465021746388,3.0,0.75,0.008,0.0
1454587894857605744,3,1454587894857489455,,3,2.22855850611,-1.56990330166,-0.091642029392,-2.36560922477,-1.56197579966,0.46502344742,3.0,0.75,0.008,0.0
1454587894865927219,4,1454587894865653412,,4,2.2285554843,-1.57005660613,-0.0910171835032,-2.36606140861,-1.56203634174,0.465025604774,3.0,0.75,0.008,0.0
1454587894874016211,5,1454587894873768223,,5,2.22855203203,-1.57024978658,-0.0902194533491,-2.36663742826,-1.56210825001,0.465028008705,3.0,0.75,0.008,0.0
1454587894882063026,6,1454587894881811224,,6,2.22854839091,-1.57047862899,-0.0892613618684,-2.36732765688,-1.56218889119,0.465030461521,3.0,0.75,0.008,0.0
1454587894890095893,7,1454587894889882992,,7,2.22854478983,-1.57073909389,-0.0881549742542,-2.3681228338,-1.56227617698,0.465032777294,3.0,0.75,0.008,0.0
1454587894898206836,8,1454587894897937689,,8,2.22854144514,-1.57102731394,-0.0869119033518,-2.3690140591,-1.56236845218,0.465034781574,3.0,0.75,0.008,0.0
1454587894906135267,9,1454587894905935581,,9,2.22853856094,-1.57133959133,-0.0855433154513,-2.36999278781,-1.56246440582,0.46503631109,3.0,0.75,0.008,0.0
1454587894914345294,10,1454587894914109805,,10,2.228536816,-1.57158745671,-0.0844409726675,-2.37077931511,-1.56253815237,0.465037054585,3.0,0.75,0.008,0.0
1454587894922565549,11,1454587894922225830,,11,2.22853519287,-1.5719334369,-0.0828782779291,-2.37189165962,-1.56263817976,0.465037392934,3.0,0.75,0.008,0.0
1454587894930486278,12,1454587894930275536,,12,2.22853453044,-1.57229415743,-0.0812185224144,-2.37306978949,-1.56273952898,0.465036862704,3.0,0.75,0.008,0.0
1454587894938565457,13,1454587894938317610,,13,2.22853498917,-1.57266653165,-0.079471255367,-2.37430643583,-1.56284165893,0.465035339877,3.0,0.75,0.008,0.0
1454587894946668622,14,1454587894946443552,,14,2.22853671852,-1.57304762892,-0.0776456115708,-2.3755946544,-1.56294414416,0.465032710199,3.0,0.75,0.008,0.0
1454587894954773621,15,1454587894954535145,,15,2.22853985716,-1.57343467152,-0.075750318934,-2.37692781884,-1.56304665106,0.465028868895,3.0,0.75,0.008,0.0
1454587894962856103,16,1454587894962624272,,16,2.22854453331,-1.57382503153,-0.0737937063205,-2.37829961354,-1.56314891901,0.465023720377,3.0,0.75,0.008,0.0
1454587894970914534,17,1454587894970680118,,17,2.22855086496,-1.57421622759,-0.0717837116106,-2.37970402654,-1.5632507453,0.465017177963,3.0,0.75,0.008,0.0
1454587894979074671,18,1454587894978841462,,18,2.22855896017,-1.57460592162,-0.0697278899751,-2.38113534223,-1.5633519732,0.465009163589,3.0,0.75,0.008,0.0
1454587894987203440,19,1454587894986960589,,19,2.22856624846,-1.57489587896,-0.0681602834357,-2.38222320876,-1.5634274279,0.465002144584,3.0,0.75,0.008,0.0
1454587894995281617,20,1454587894995044309,,20,2.22857766101,-1.5752777375,-0.0660413235445,-2.38368871592,-1.5635273367,0.464991391359,3.0,0.75,0.008,0.0
1454587895003322583,21,1454587895003058964,,21,2.22859108528,-1.57565237573,-0.0638954098894,-2.38516687532,-1.56362638199,0.464978993651,3.0,0.75,0.008,0.0
1454587895011469810,22,1454587895011234065,,22,2.22860659451,-1.57601796281,-0.0617287393255,-2.38665301625,-1.563724509,0.464964903223,3.0,0.75,0.008,0.0
1454587895019527690,23,1454587895019309230,,23,2.22862425332,-1.57637279492,-0.0595471676895,-2.38814272859,-1.563821678,0.464949079137,3.0,0.75,0.008,0.0
1454587895027639189,24,1454587895027405705,,24,2.22864411798,-1.57671529175,-0.0573562189653,-2.38963185513,-1.56391786105,0.464931487479,3.0,0.75,0.008,0.0
1454587895035678661,25,1454587895035461465,,25,2.2286662367,-1.57704399292,-0.0551610945447,-2.39111648386,-1.56401303945,0.464912101084,3.0,0.75,0.008,0.0
1454587895043874155,26,1454587895043630918,,26,2.22869064988,-1.57735755442,-0.0529666825641,-2.39259294027,-1.56410720165,0.464890899271,3.0,0.75,0.008,0.0
1454587895051936966,27,1454587895051697618,,27,2.22871048559,-1.5775820453,-0.0513241100039,-2.39369283883,-1.56417715262,0.464873797615,3.0,0.75,0.008,0.0
1454587895060067374,28,1454587895059735723,,28,2.22873898891,-1.57786621541,-0.0491417982331,-2.39514683858,-1.56426952457,0.4648493876,3.0,0.75,0.008,0.0
1454587895068031928,29,1454587895067750488,,29,2.22876985995,-1.57813212033,-0.0469721028793,-2.39658372265,-1.56436087329,0.464823136544,3.0,0.75,0.008,0.0
1454587895076116160,30,1454587895075898347,,30,2.22880311237,-1.57837882027,-0.0448188212942,-2.3980006385,-1.564451202,0.464795045717,3.0,0.75,0.008,0.0
1454587895084206244,31,1454587895083964250,,31,2.22883875335,-1.57860547467,-0.0426854823987,-2.39939493471,-1.56454051579,0.464765121626,3.0,0.75,0.008,0.0
1454587895092315663,32,1454587895092025413,,32,2.22887678387,-1.57881133862,-0.0405753561043,-2.4007641534,-1.56462882104,0.464733375763,3.0,0.75,0.008,0.0
1454587895100248720,33,1454587895100028106,,33,2.22891719895,-1.57899575926,-0.0384914626903,-2.40210602279,-1.56471612497,0.464699824356,3.0,0.75,0.008,0.0
1454587895108492786,34,1454587895108237205,,34,2.2289599879,-1.57915817227,-0.0364365821213,-2.40341844987,-1.56480243537,0.464664488125,3.0,0.75,0.008,0.0
