%time,field.header.seq,field.header.stamp,field.header.frame_id,field.waypoint,field.q0,field.q1,field.q2,field.q3,field.q4,field.q5,field.acc,field.vel,field.totaltime,field.round
1454587894834227276,0,1454587894833567958,,0,222856249,-156972287,-9236485,-236508457,-156189770,46502052,300000000,75000000,8000,0
1454587894841526706,1,1454587894841375904,,1,222856198,-156974427,-9228018,-236514616,-156190766,46502090,300000000,75000000,8000,0
1454587894849540276,2,1454587894849416476,,2,222856084,-156979426,-9208100,-236529087,-156192994,46502174,300000000,75000000,8000,0
1454587894857623236,3,1454587894857489455,,3,222855850,-156990330,-9164202,-236560922,-156197579,46502344,300000000,75000000,8000,0
1454587894865969251,4,1454587894865653412,,4,222855548,-157005660,-9101718,-236606140,-156203634,46502560,300000000,75000000,8000,0
1454587894874063606,5,1454587894873768223,,5,222855203,-157024978,-9021945,-236663742,-156210825,46502800,300000000,75000000,8000,0
1454587894882092003,6,1454587894881811224,,6,222854839,-157047862,-8926136,-236732765,-156218889,46503046,300000000,75000000,8000,0
1454587894890143368,7,1454587894889882992,,7,222854478,-157073909,-8815497,-236812283,-156227617,46503277,300000000,75000000,8000,0
1454587894898212439,8,1454587894897937689,,8,222854144,-157102731,-8691190,-236901405,-156236845,46503478,300000000,75000000,8000,0
1454587894906156451,9,1454587894905935581,,9,222853856,-157133959,-8554331,-236999278,-156246440,46503631,300000000,75000000,8000,0
1454587894914372958,10,1454587894914109805,,10,222853681,-157158745,-8444097,-237077931,-156253815,46503705,300000000,75000000,8000,0
1454587894922601788,11,1454587894922225830,,11,222853519,-157193343,-8287827,-237189165,-156263817,46503739,300000000,75000000,8000,0
1454587894930512393,12,1454587894930275536,,12,222853453,-157229415,-8121852,-237306978,-156273952,46503686,300000000,75000000,8000,0
1454587894938565001,13,1454587894938317610,,13,222853498,-157266653,-7947125,-237430643,-156284165,46503533,300000000,75000000,8000,0
1454587894946703713,14,1454587894946443552,,14,222853671,-157304762,-7764561,-237559465,-156294414,46503271,300000000,75000000,8000,0
1454587894954801029,15,1454587894954535145,,15,222853985,-157343467,-7575031,-237692781,-156304665,46502886,300000000,75000000,8000,0
1454587894962880334,16,1454587894962624272,,16,222854453,-157382503,-7379370,-237829961,-156314891,46502372,300000000,75000000,8000,0
1454587894970944995,17,1454587894970680118,,17,222855086,-157421622,-7178371,-237970402,-156325074,46501717,300000000,75000000,8000,0
1454587894979105266,18,1454587894978841462,,18,222855896,-157460592,-6972788,-238113534,-156335197,46500916,300000000,75000000,8000,0
1454587894987232497,19,1454587894986960589,,19,222856624,-157489587,-6816028,-238222320,-156342742,46500214,300000000,75000000,8000,0
1454587894995308494,20,1454587894995044309,,20,222857766,-157527773,-6604132,-238368871,-156352733,46499139,300000000,75000000,8000,0
1454587895003468310,21,1454587895003058964,,21,222859108,-157565237,-6389540,-238516687,-156362638,46497899,300000000,75000000,8000,0
1454587895011501152,22,1454587895011234065,,22,222860659,-157601796,-6172873,-238665301,-156372450,46496490,300000000,75000000,8000,0
1454587895019555414,23,1454587895019309230,,23,222862425,-157637279,-5954716,-238814272,-156382167,46494907,300000000,75000000,8000,0
1454587895027668782,24,1454587895027405705,,24,222864411,-157671529,-5735621,-238963185,-156391786,46493148,300000000,75000000,8000,0
1454587895035707593,25,1454587895035461465,,25,222866623,-157704399,-5516109,-239111648,-156401303,46491210,300000000,75000000,8000,0
1454587895043909511,26,1454587895043630918,,26,222869064,-157735755,-5296668,-239259294,-156410720,46489089,300000000,75000000,8000,0
1454587895051959454,27,1454587895051697618,,27,222871048,-157758204,-5132411,-239369283,-156417715,46487379,300000000,75000000,8000,0
1454587895060132985,28,1454587895059735723,,28,222873898,-157786621,-4914179,-239514683,-156426952,46484938,300000000,75000000,8000,0
1454587895068077619,29,1454587895067750488,,29,222876985,-157813212,-4697210,-239658372,-156436087,46482313,300000000,75000000,8000,0
1454587895076141663,30,1454587895075898347,,30,222880311,-157837882,-4481882,-239800063,-156445120,46479504,300000000,75000000,8000,0
1454587895084234590,31,1454587895083964250,,31,222883875,-157860547,-4268548,-239939493,-156454051,46476512,300000000,75000000,8000,0
1454587895092329676,32,1454587895092025413,,32,222887678,-157881133,-4057535,-240076415,-156462882,46473337,300000000,75000000,8000,0
1454587895100275106,33,1454587895100028106,,33,222891719,-157899575,-3849146,-240210602,-156471612,46469982,300000000,75000000,8000,0
1454587895108522564,34,1454587895108237205,,34,222895998,-157915817,-3643658,-240341844,-156480243,46466448,300000000,75000000,8000,0
1454587895116504449,35,1454587895116253695,,35,222900513,-157929809,-3441326,-240469951,-156488776,46462739,300000000,75000000,8000,0
1454587895124686255,36,1454587895124362593,,36,222904052,-157938804,-3291789,-240563866,-156495111,46459843,300000000,75000000,8000,0
1454587895132657491,37,1454587895132364243,,37,222908974,-157948770,-3095527,-240686070,-156503473,46455832,300000000,75000000,8000,0
1454587895140736094,38,1454587895140499683,,38,222914125,-157956397,-2903011,-240804692,-156511738,46451655,300000000,75000000,8000,0
1454587895148836597,39,1454587895148582220,,39,222919501,-157961665,-2714417,-240919598,-156519908,46447314,300000000,75000000,8000,0
1454587895156893210,40,1454587895156640085,,40,222925098,-157964563,-2529902,-241030667,-156527983,46442814,300000000,75000000,8000,0
1454587895164912651,41,1454587895164671750,,41,222930913,-157965083,-2349605,-241137793,-156535964,46438160,300000000,75000000,8000,0
1454587895173080235,42,1454587895172796444,,42,222936940,-157963228,-2173649,-241240881,-156543851,46433356,300000000,75000000,8000,0
1454587895181117693,43,1454587895180871654,,43,222943175,-157959003,-2002140,-241339847,-156551646,46428407,300000000,75000000,8000,0
1454587895189164733,44,1454587895188901961,,44,222949613,-157952421,-1835168,-241434622,-156559347,46423319,300000000,75000000,8000,0
1454587895197180130,45,1454587895196891754,,45,222954570,-157945947,-1712963,-241502916,-156565063,46419414,300000000,75000000,8000,0
1454587895205328745,46,1454587895205047445,,46,222961347,-157935284,-1554104,-241590215,-156572604,46414095,300000000,75000000,8000,0
1454587895213356470,47,1454587895213083234,,47,222968311,-157922322,-1399958,-241673181,-156580054,46408652,300000000,75000000,8000,0
1454587895221459645,48,1454587895221200907,,48,222975454,-157907094,-1250562,-241751779,-156587412,46403091,300000000,75000000,8000,0
1454587895229425127,49,1454587895229171306,,49,222982771,-157889633,-1105944,-241825983,-156594680,46397418,300000000,75000000,8000,0
1454587895237588360,50,1454587895237351824,,50,222990254,-157869977,-966119,-241895778,-156601858,46391639,300000000,75000000,8000,0
1454587895245621724,51,1454587895245373195,,51,222997895,-157848170,-831094,-241961153,-156608946,46385761,300000000,75000000,8000,0
1454587895253754046,52,1454587895253468452,,52,223003727,-157830430,-732971,-242007282,-156614203,46381292,300000000,75000000,8000,0
1454587895261736377,53,1454587895261472412,,53,223011630,-157804970,-606325,-242064922,-156621133,46375256,300000000,75000000,8000,0
1454587895269813753,54,1454587895269600830,,54,223019672,-157777492,-484443,-242118153,-156627974,46369139,300000000,75000000,8000,0
1454587895277988252,55,1454587895277723260,,55,223027845,-157748050,-367295,-242166990,-156634726,46362947,300000000,75000000,8000,0
1454587895286049214,56,1454587895285775637,,56,223036142,-157716700,-254845,-242211453,-156641388,46356687,300000000,75000000,8000,0
1454587895294063037,57,1454587895293779392,,57,223044554,-157683502,-147048,-242251569,-156647962,46350366,300000000,75000000,8000,0
1454587895302203799,58,1454587895301941969,,58,223053074,-157648517,-43855,-242287369,-156654446,46343991,300000000,75000000,8000,0
1454587895310289333,59,1454587895310025178,,59,223061694,-157611807,54790,-242318887,-156660841,46337568,300000000,75000000,8000,0
1454587895318293457,60,1454587895318082870,,60,223070405,-157573438,148952,-242346164,-156667148,46331104,300000000,75000000,8000,0
1454587895326268301,61,1454587895326062402,,61,223079199,-157533477,238696,-242369242,-156673366,46324607,300000000,75000000,8000,0
1454587895334381279,62,1454587895334175624,,62,223088069,-157491989,324095,-242388168,-156679495,46318082,300000000,75000000,8000,0
1454587895342570063,63,1454587895342304164,,63,223097005,-157449046,405223,-242402991,-156685535,46311536,300000000,75000000,8000,0
1454587895350661099,64,1454587895350395712,,64,223103747,-157415924,463316,-242411447,-156690008,46306617,300000000,75000000,8000,0
1454587895358618603,65,1454587895358348063,,65,223112780,-157370601,537167,-242419218,-156695894,46300052,300000000,75000000,8000,0
1454587895366747036,66,1454587895366474121,,66,223121858,-157324016,606976,-242423037,-156701691,46293484,300000000,75000000,8000,0
1454587895374793355,67,1454587895374545667,,67,223130972,-157276240,672832,-242422961,-156707401,46286921,300000000,75000000,8000,0
1454587895382843572,68,1454587895382606284,,68,223140114,-157227347,734825,-242419053,-156713023,46280368,300000000,75000000,8000,0
1454587895390984434,69,1454587895390668865,,69,223149275,-157177409,793048,-242411374,-156718557,46273832,300000000,75000000,8000,0
1454587895399165378,70,1454587895398901775,,70,223158448,-157126500,847596,-242399989,-156724003,46267319,300000000,75000000,8000,0
1454587895407276983,71,1454587895406955771,,71,223167624,-157074691,898565,-242384961,-156729362,46260836,300000000,75000000,8000,0
1454587895415255204,72,1454587895415009065,,72,223176796,-157022057,946052,-242366358,-156734634,46254388,300000000,75000000,8000,0
1454587895423240687,73,1454587895423000332,,73,223183667,-156982084,979442,-242350100,-156738531,46249580,300000000,75000000,8000,0
1454587895431444198,74,1454587895431181201,,74,223192811,-156928180,1021073,-242325402,-156743651,46243209,300000000,75000000,8000,0
1454587895439500495,75,1454587895439206912,,75,223201930,-156873650,1059494,-242297315,-156748685,46236890,300000000,75000000,8000,0
1454587895447568714,76,1454587895447302815,,76,223211014,-156818565,1094804,-242265907,-156753633,46230629,300000000,75000000,8000,0
1454587895455579039,77,1454587895455321069,,77,223220057,-156762998,1127103,-242231247,-156758495,46224430,300000000,75000000,8000,0
1454587895463714459,78,1454587895463466060,,78,223229051,-156707019,1156491,-242193405,-156763273,46218300,300000000,75000000,8000,0
1454587895471789729,79,1454587895471505102,,79,223237989,-156650699,1183067,-242152450,-156767965,46212244,300000000,75000000,8000,0
1454587895479863621,80,1454587895479577095,,80,223246863,-156594105,1206928,-242108451,-156772574,46206267,300000000,75000000,8000,0
1454587895487859283,81,1454587895487559130,,81,223253472,-156551523,1223103,-242073496,-156775975,46201839,300000000,75000000,8000,0
1454587895495970381,82,1454587895495682546,,82,223262218,-156494617,1242451,-242024338,-156780437,46196013,300000000,75000000,8000,0
1454587895504069206,83,1454587895503712011,,83,223270880,-156437625,1259353,-241972326,-156784817,46190278,300000000,75000000,8000,0
1454587895511983244,84,1454587895511715606,,84,223279452,-156380612,1273903,-241917528,-156789114,46184641,300000000,75000000,8000,0
1454587895519974931,85,1454587895519716915,,85,223287928,-156323644,1286198,-241860014,-156793330,46179106,300000000,75000000,8000,0
1454587895528116008,86,1454587895527891575,,86,223296301,-156266784,1296328,-241799850,-156797465,46173677,300000000,75000000,8000,0
1454587895536250922,87,1454587895535965202,,87,223304564,-156210094,1304387,-241737105,-156801521,46168358,300000000,75000000,8000,0
1454587895544324789,88,1454587895544084278,,88,223310685,-156167726,1309125,-241688391,-156804510,46164444,300000000,75000000,8000,0
1454587895552400981,89,1454587895552001310,,89,223318742,-156111481,1313773,-241621285,-156808427,46159328,300000000,75000000,8000,0
1454587895560316912,90,1454587895560118265,,90,223326672,-156055573,1316593,-241551780,-156812266,46154333,300000000,75000000,8000,0
1454587895568408171,91,1454587895568168995,,91,223334471,-156000059,1317671,-241479938,-156816028,46149463,300000000,75000000,8000,0
1454587895576430427,92,1454587895576227011,,92,223342131,-155944995,1317091,-241405824,-156819714,46144721,300000000,75000000,8000,0
1454587895584537187,93,1454587895584266086,,93,223349648,-155890437,1314934,-241329501,-156823324,46140111,300000000,75000000,8000,0
1454587895592716638,94,1454587895592444184,,94,223357017,-155836438,1311282,-241251032,-156826861,46135635,300000000,75000000,8000,0
1454587895600760180,95,1454587895600504129,,95,223364232,-155783051,1306212,-241170479,-156830324,46131298,300000000,75000000,8000,0
1454587895608843369,96,1454587895608565437,,96,223371288,-155730326,1299801,-241087903,-156833715,46127102,300000000,75000000,8000,0
1454587895616885583,97,1454587895616603837,,97,223376473,-155691246,1294158,-241024679,-156836211,46124048,300000000,75000000,8000,0
1454587895624937004,98,1454587895624720717,,98,223383240,-155639798,1285578,-240938706,-156839478,46120105,300000000,75000000,8000,0
1454587895633009367,99,1454587895632763183,,99,223389835,-155589144,1275858,-240850872,-156842675,46116309,300000000,75000000,8000,0
1454587895641151757,100,1454587895640878957,,100,223396255,-155539329,1265067,-240761237,-156845805,46112664,300000000,75000000,8000,0
1454587895649219405,101,1454587895648938200,,101,223402494,-155490398,1253271,-240669858,-156848867,46109172,300000000,75000000,8000,0
1454587895657214211,102,1454587895657021237,,102,223408549,-155442393,1240536,-240576789,-156851863,46105834,300000000,75000000,8000,0
1454587895665262398,103,1454587895665049082,,103,223414416,-155395354,1226925,-240482088,-156854795,46102653,300000000,75000000,8000,0
1454587895673276371,104,1454587895673068297,,104,223420092,-155349320,1212500,-240385809,-156857663,46099630,300000000,75000000,8000,0
1454587895681278014,105,1454587895681089398,,105,223425572,-155304329,1197318,-240288005,-156860469,46096766,300000000,75000000,8000,0
1454587895689371814,106,1454587895689168259,,106,223430854,-155260418,1181438,-240188731,-156863214,46094064,300000000,75000000,8000,0
1454587895697395043,107,1454587895697208248,,107,223434684,-155228214,1169103,-240113341,-156865233,46092145,300000000,75000000,8000,0
1454587895705502596,108,1454587895705281268,,108,223439611,-155186274,1152132,-240011618,-156867874,46089728,300000000,75000000,8000,0
1454587895713514386,109,1454587895713298581,,109,223444332,-155145504,1134610,-239908567,-156870458,46087476,300000000,75000000,8000,0
1454587895721741154,110,1454587895721462094,,110,223448843,-155105935,1116587,-239804238,-156872986,46085390,300000000,75000000,8000,0
1454587895729843426,111,1454587895729497402,,111,223453143,-155067597,1098110,-239698681,-156875459,46083470,300000000,75000000,8000,0
1454587895737910879,112,1454587895737628081,,112,223457228,-155030516,1079225,-239591945,-156877878,46081718,300000000,75000000,8000,0
